Address,Description,DispensaryName,Email,Facebook,Friday,Instagram,ListingUrl,Listings,Monday,Phone,Saturday,State,StoreUrl,Sunday,Thursday,Tuesday,Twitter,Website,Wednesday,latitude,longitude
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/alabama,Alabama,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/alaska,Alaska,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona,Arizona,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas,Arkansas,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/california,California,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/colorado,Colorado,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut,Connecticut,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/delaware,Delaware,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/florida,Florida,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/georgia,Georgia,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/hawaii,Hawaii,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/idaho,Idaho,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/illinois,Illinois,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/indiana,Indiana,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/iowa,Iowa,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/kansas,Kansas,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/kentucky,Kentucky,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/louisiana,Louisiana,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/maine,Maine,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/maryland,Maryland,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/massachusetts,Massachusetts,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/michigan,Michigan,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/minnesota,Minnesota,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/mississippi,Mississippi,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/missouri,Missouri,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/montana,Montana,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/nebraska,Nebraska,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/nevada,Nevada,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-hampshire,New Hampshire,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut/bridgeport,Bridgeport,,,,Connecticut,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-jersey,New Jersey,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut/danbury,Danbury,,,,Connecticut,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut/hartford,Hartford,,,,Connecticut,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut/new-britain,New Britain,,,,Connecticut,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-york,New York,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut/new-haven,New Haven,,,,Connecticut,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut/new-london,New London,,,,Connecticut,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/north-carolina,North Carolina,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut/norwalk,Norwalk,,,,Connecticut,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut/stamford,Stamford,,,,Connecticut,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/north-dakota,North Dakota,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/connecticut/waterbury,Waterbury,,,,Connecticut,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/ohio,Ohio,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas/conway,Conway,,,,Arkansas,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/oklahoma,Oklahoma,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas/el-dorado,El Dorado,,,,Arkansas,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas/fayetteville,Fayetteville,,,,Arkansas,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/oregon,Oregon,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas/fort-smith,Fort Smith,,,,Arkansas,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas/hot-springs-ar,"Hot Springs, AR",,,,Arkansas,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona/apache-county,Apache County,,,,Arizona,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/pennsylvania,Pennsylvania,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas/jonesboro,Jonesboro,,,,Arkansas,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas/little-rock,Little Rock,,,,Arkansas,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona/casa-grande-maricopa,Casa Grande / Maricopa,,,,Arizona,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona/cave-creek,Cave Creek,,,,Arizona,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/rhode-island,Rhode Island,,,,United States,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas/north-little-rock,North Little Rock,,,,Arkansas,,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arkansas/pine-bluff,Pine Bluff,,,,Arkansas,,,,,,,,,
,,Pickup AM Test,,,,,,,,,,"Alabama, AL",https://weedmaps.com/dispensaries/pickup-am-test,,,,,,,,
,,,,,,,https://weedmaps.com/dispensaries/in/united-states/arizona/cochise-county,Cochise County,,,,Arizona,,,,,,,,,
